calibration_risk_norm,neighbor_error_rate_norm,predicted_assurance_risk
0.0,0.0,0.3968349247684044
0.008403361344537815,0.0,0.40251665311043594
0.01680672268907563,0.0,0.40822467303419807
0.025210084033613446,0.0,0.4139575562371347
0.03361344537815126,0.0,0.4197138479481727
0.04201680672268907,0.0,0.4254920683159522
0.05042016806722689,0.0,0.4312907138531843
0.058823529411764705,0.0,0.43710825893434574
0.06722689075630252,0.0,0.44294315734371725
0.07563025210084033,0.0,0.4487938438705782
0.08403361344537814,0.0,0.4546587359481875
0.09243697478991596,0.0,0.4605362353330088
0.10084033613445378,0.0,0.4664247298204777
0.1092436974789916,0.0,0.4723225949934672
0.11764705882352941,0.0,0.478228195999471
0.12605042016806722,0.0,0.48413988935241653
0.13445378151260504,0.0,0.4900560247549116
0.14285714285714285,0.0,0.49597494693665245
0.15126050420168066,0.0,0.501894997504652
0.15966386554621848,0.0,0.5078145168008998
0.1680672268907563,0.0,0.5137318457630342
0.1764705882352941,0.0,0.5196453277835963
0.18487394957983191,0.0,0.5255533105634396
0.19327731092436973,0.0,0.5314541479548934
0.20168067226890757,0.0,0.5373462017903218
0.21008403361344538,0.0,0.5432278436917756
0.2184873949579832,0.0,0.5490974568575139
0.226890756302521,0.0,0.5549534378212686
0.23529411764705882,0.0,0.5607941981802252
0.24369747899159663,0.0,0.5666181662878323
0.25210084033613445,0.0,0.5724237889076774
0.26050420168067223,0.0,0.5782095328248348
0.2689075630252101,0.0,0.5839738864112477
0.2773109243697479,0.0,0.5897153611418928
0.2857142857142857,0.0,0.595432493058661
0.29411764705882354,0.0,0.6011238441790909
0.3025210084033613,0.0,0.6067880038473005
0.31092436974789917,0.0,0.6124235900246752
0.31932773109243695,0.0,0.6180292505180989
0.3277310924369748,0.0,0.6236036641437371
0.3361344537815126,0.0,0.6291455418246134
0.3445378151260504,0.0,0.6346536276204607
0.3529411764705882,0.0,0.6401266996885551
0.36134453781512604,0.0,0.6455635711744824
0.36974789915966383,0.0,0.6509630910320232
0.37815126050420167,0.0,0.6563241447715678
0.38655462184873945,0.0,0.6616456551367126
0.3949579831932773,0.0,0.6669265827089057
0.40336134453781514,0.0,0.6721659264402347
0.4117647058823529,0.0,0.6773627241146657
0.42016806722689076,0.0,0.6825160527382422
0.42857142857142855,0.0,0.6876250288589637
0.4369747899159664,0.0,0.6926888088172442
0.4453781512605042,0.0,0.6977065889280379
0.453781512605042,0.0,0.7026776055958949
0.4621848739495798,0.0,0.7076011353643632
0.47058823529411764,0.0,0.7124764949013161
0.4789915966386554,0.0,0.7173030409219163
0.48739495798319327,0.0,0.7220801700510587
0.49579831932773105,0.0,0.7268073186272616
0.5042016806722689,0.0,0.7314839624500676
0.5126050420168067,0.0,0.7361096164731254
0.5210084033613445,0.0,0.7406838344451979
0.5294117647058824,0.0,0.7452062085014199
0.5378151260504201,0.0,0.7496763687071896
0.5462184873949579,0.0,0.7540939825571239
0.5546218487394958,0.0,0.7584587544315549
0.5630252100840336,0.0,0.7627704250130652
0.5714285714285714,0.0,0.7670287706655882
0.5798319327731092,0.0,0.7712336027785988
0.5882352941176471,0.0,0.775384767078928
0.5966386554621849,0.0,0.779482142912722
0.6050420168067226,0.0,0.783525642500047
0.6134453781512604,0.0,0.7875152101646219
0.6218487394957983,0.0,0.7914508215411203
0.6302521008403361,0.0,0.7953324827624504
0.6386554621848739,0.0,0.7991602296293692
0.6470588235294117,0.0,0.8029341267647415
0.6554621848739496,0.0,0.8066542667546883
0.6638655462184874,0.0,0.8103207692788192
0.6722689075630252,0.0,0.8139337802316605
0.680672268907563,0.0,0.8174934708373391
0.6890756302521008,0.0,0.8210000367594879
0.6974789915966386,0.0,0.8244536972082852
0.7058823529411764,0.0,0.8278546940464367
0.7142857142857143,0.0,0.8312032908958504
0.7226890756302521,0.0,0.8344997722466557
0.7310924369747899,0.0,0.8377444425701462
0.7394957983193277,0.0,0.8409376254371339
0.7478991596638656,0.0,0.8440796626431231
0.7563025210084033,0.0,0.8471709133416271
0.7647058823529411,0.0,0.8502117531868634
0.7731092436974789,0.0,0.8532025734869866
0.7815126050420168,0.0,0.8561437803689311
0.7899159663865546,0.0,0.8590357939558558
0.7983193277310924,0.0,0.8618790475581046
0.8067226890756303,0.0,0.8646739868785185
0.8151260504201681,0.0,0.8674210692328609
0.8235294117647058,0.0,0.8701207627860355
0.8319327731092436,0.0,0.8727735458047204
0.8403361344537815,0.0,0.8753799059269564
0.8487394957983193,0.0,0.8779403394491688
0.8571428571428571,0.0,0.8804553506310402
0.8655462184873949,0.0,0.8829254510185787
0.8739495798319328,0.0,0.8853511587856822
0.8823529411764706,0.0,0.8877329980944276
0.8907563025210083,0.0,0.8900714984742728
0.8991596638655461,0.0,0.8923671942202966
0.907563025210084,0.0,0.8946206238105637
0.9159663865546218,0.0,0.896832329342649
0.9243697478991596,0.0,0.8990028559893152
0.9327731092436974,0.0,0.9011327514732953
0.9411764705882353,0.0,0.9032225655610998
0.9495798319327731,0.0,0.9052728495757206
0.9579831932773109,0.0,0.9072841559280868
0.9663865546218487,0.0,0.909257037667083
0.9747899159663865,0.0,0.9111920480479219
0.9831932773109243,0.0,0.9130897401186333
0.9915966386554621,0.0,0.9149506663244076
1.0,0.0,0.9167753781295124
0.0,0.008403361344537815,0.3971782104476339
0.008403361344537815,0.008403361344537815,0.4028276042313147
0.01680672268907563,0.008403361344537815,0.40850290067453876
0.025210084033613446,0.008403361344537815,0.41420269549578126
0.03361344537815126,0.008403361344537815,0.4199255586351573
0.04201680672268907,0.008403361344537815,0.42567003560430483
0.05042016806722689,0.008403361344537815,0.431434648890306
0.058823529411764705,0.008403361344537815,0.4372178994109632
0.06722689075630252,0.008403361344537815,0.44301826801855343
0.07563025210084033,0.008403361344537815,0.448834217049
0.08403361344537814,0.008403361344537815,0.4546641919132234
0.09243697478991596,0.008403361344537815,0.4605066227272726
0.10084033613445378,0.008403361344537815,0.46635992597768955
0.1092436974789916,0.008403361344537815,0.47222250621841116
0.11764705882352941,0.008403361344537815,0.4780927577954015
0.12605042016806722,0.008403361344537815,0.4839690665950867
0.13445378151260504,0.008403361344537815,0.4898498118125736
0.14285714285714285,0.008403361344537815,0.4957333677355575
0.15126050420168066,0.008403361344537815,0.5016181055397523
0.15966386554621848,0.008403361344537815,0.5075023950916407
0.1680672268907563,0.008403361344537815,0.5133846067543042
0.1764705882352941,0.008403361344537815,0.5192631131920848
0.18487394957983191,0.008403361344537815,0.5251362911698324
0.19327731092436973,0.008403361344537815,0.5310025233425176
0.20168067226890757,0.008403361344537815,0.5368602000310221
0.21008403361344538,0.008403361344537815,0.54270772097998
0.2184873949579832,0.008403361344537815,0.5485434970936148
0.226890756302521,0.008403361344537815,0.5543659521456022
0.23529411764705882,0.008403361344537815,0.5601735244590914
0.24369747899159663,0.008403361344537815,0.5659646685531423
0.25210084033613445,0.008403361344537815,0.5717378567519623
0.26050420168067223,0.008403361344537815,0.5774915807534703
0.2689075630252101,0.008403361344537815,0.583224353153882
0.2773109243697479,0.008403361344537815,0.5889347089251735
0.2857142857142857,0.008403361344537815,0.5946212068424586
0.29411764705882354,0.008403361344537815,0.6002824308585136
0.3025210084033613,0.008403361344537815,0.605916991422871
0.31092436974789917,0.008403361344537815,0.6115235267431162
0.31932773109243695,0.008403361344537815,0.6171007039862287
0.3277310924369748,0.008403361344537815,0.6226472204180296
0.3361344537815126,0.008403361344537815,0.6281618044790114
0.3445378151260504,0.008403361344537815,0.6336432167950549
0.3529411764705882,0.008403361344537815,0.639090251121761
0.36134453781512604,0.008403361344537815,0.6445017352213461
0.36974789915966383,0.008403361344537815,0.6498765316712825
0.37815126050420167,0.008403361344537815,0.6552135386040772
0.38655462184873945,0.008403361344537815,0.6605116903778111
0.3949579831932773,0.008403361344537815,0.6657699581772715
0.40336134453781514,0.008403361344537815,0.6709873505457234
0.4117647058823529,0.008403361344537815,0.6761629138475721
0.42016806722689076,0.008403361344537815,0.6812957326623641
0.42857142857142855,0.008403361344537815,0.6863849301107743
0.4369747899159664,0.008403361344537815,0.6914296681133998
0.4453781512605042,0.008403361344537815,0.6964291475833654
0.453781512605042,0.008403361344537815,0.7013826085539128
0.4621848739495798,0.008403361344537815,0.7062893302422903
0.47058823529411764,0.008403361344537815,0.7111486310514302
0.4789915966386554,0.008403361344537815,0.7159598685110076
0.48739495798319327,0.008403361344537815,0.7207224391596327
0.49579831932773105,0.008403361344537815,0.7254357783700197
0.5042016806722689,0.008403361344537815,0.7300993601190907
0.5126050420168067,0.008403361344537815,0.7347126967050714
0.5210084033613445,0.008403361344537815,0.7392753384137077
0.5294117647058824,0.008403361344537815,0.743786873135814
0.5378151260504201,0.008403361344537815,0.7482469259384191
0.5462184873949579,0.008403361344537815,0.7526551585918331
0.5546218487394958,0.008403361344537815,0.7570112690549927
0.5630252100840336,0.008403361344537815,0.7613149909214809
0.5714285714285714,0.008403361344537815,0.7655660928286303
0.5798319327731092,0.008403361344537815,0.7697643778321355
0.5882352941176471,0.008403361344537815,0.7739096827486049
0.5966386554621849,0.008403361344537815,0.7780018774684688
