reviewed_pct,cumulative_ai_errors_captured,pct_of_all_ai_errors_captured
0.0010325991553338909,0,0.0
0.0020651983106677817,1,0.07032348804500703
0.003097797466001673,2,0.14064697609001406
0.0041303966213355634,3,0.21097046413502107
0.005162995776669455,3,0.21097046413502107
0.006195594932003346,4,0.2812939521800281
0.007228194087337237,4,0.2812939521800281
0.008260793242671127,4,0.2812939521800281
0.009293392398005019,4,0.2812939521800281
0.01032599155333891,4,0.2812939521800281
0.0113585907086728,4,0.2812939521800281
0.012391189864006691,5,0.35161744022503516
0.013423789019340583,5,0.35161744022503516
0.014456388174674473,6,0.42194092827004215
0.015488987330008364,7,0.49226441631504925
0.016521586485342254,8,0.5625879043600562
0.017554185640676144,9,0.6329113924050633
0.018586784796010038,9,0.6329113924050633
0.019619383951343928,9,0.6329113924050633
0.02065198310667782,10,0.7032348804500703
0.02168458226201171,11,0.7735583684950774
0.0227171814173456,11,0.7735583684950774
0.023749780572679492,12,0.8438818565400843
0.024782379728013382,12,0.8438818565400843
0.025814978883347273,12,0.8438818565400843
0.026847578038681166,12,0.8438818565400843
0.027880177194015053,13,0.9142053445850914
0.028912776349348947,13,0.9142053445850914
0.029945375504682837,13,0.9142053445850914
0.030977974660016727,13,0.9142053445850914
0.03201057381535062,13,0.9142053445850914
0.03304317297068451,13,0.9142053445850914
0.0340757721260184,13,0.9142053445850914
0.03510837128135229,13,0.9142053445850914
0.03614097043668618,13,0.9142053445850914
0.037173569592020075,13,0.9142053445850914
0.03820616874735396,14,0.9845288326300985
0.039238767902687856,14,0.9845288326300985
0.04027136705802174,15,1.0548523206751055
0.04130396621335564,16,1.1251758087201125
0.04233656536868953,17,1.1954992967651195
0.04336916452402342,17,1.1954992967651195
0.04440176367935731,17,1.1954992967651195
0.0454343628346912,17,1.1954992967651195
0.04646696199002509,17,1.1954992967651195
0.047499561145358984,18,1.2658227848101267
0.04853216030069287,18,1.2658227848101267
0.049564759456026765,18,1.2658227848101267
0.05059735861136066,19,1.3361462728551337
0.051629957766694545,20,1.4064697609001406
0.05266255692202844,20,1.4064697609001406
0.05369515607736233,21,1.4767932489451476
0.05472775523269621,21,1.4767932489451476
0.055760354388030106,21,1.4767932489451476
0.056792953543364,21,1.4767932489451476
0.057825552698697893,22,1.5471167369901548
0.05885815185403178,23,1.6174402250351618
0.059890751009365674,24,1.6877637130801686
0.06092335016469957,25,1.7580872011251758
0.061955949320033454,25,1.7580872011251758
0.06298854847536735,26,1.8284106891701828
0.06402114763070124,27,1.89873417721519
0.06505374678603514,28,1.969057665260197
0.06608634594136902,29,2.0393811533052038
0.06711894509670291,29,2.0393811533052038
0.0681515442520368,30,2.109704641350211
0.06918414340737068,31,2.180028129395218
0.07021674256270458,32,2.250351617440225
0.07124934171803848,33,2.320675105485232
0.07228194087337236,34,2.390998593530239
0.07331454002870626,34,2.390998593530239
0.07434713918404015,34,2.390998593530239
0.07537973833937404,34,2.390998593530239
0.07641233749470792,35,2.461322081575246
0.07744493665004182,36,2.5316455696202533
0.07847753580537571,36,2.5316455696202533
0.07951013496070959,37,2.60196905766526
0.08054273411604349,38,2.6722925457102673
0.08157533327137739,38,2.6722925457102673
0.08260793242671129,38,2.6722925457102673
0.08364053158204517,38,2.6722925457102673
0.08467313073737906,38,2.6722925457102673
0.08570572989271295,39,2.7426160337552745
0.08673832904804683,39,2.7426160337552745
0.08777092820338073,39,2.7426160337552745
0.08880352735871462,39,2.7426160337552745
0.0898361265140485,39,2.7426160337552745
0.0908687256693824,39,2.7426160337552745
0.09190132482471629,39,2.7426160337552745
0.09293392398005018,39,2.7426160337552745
0.09396652313538408,40,2.8129395218002813
0.09499912229071797,40,2.8129395218002813
0.09603172144605186,40,2.8129395218002813
0.09706432060138574,40,2.8129395218002813
0.09809691975671965,40,2.8129395218002813
0.09912951891205353,40,2.8129395218002813
0.10016211806738741,40,2.8129395218002813
0.10119471722272132,41,2.8832630098452885
0.1022273163780552,41,2.8832630098452885
0.10325991553338909,42,2.9535864978902953
0.104292514688723,42,2.9535864978902953
0.10532511384405688,42,2.9535864978902953
0.10635771299939076,42,2.9535864978902953
0.10739031215472467,43,3.0239099859353025
0.10842291131005855,43,3.0239099859353025
0.10945551046539242,43,3.0239099859353025
0.11048810962072633,43,3.0239099859353025
0.11152070877606021,43,3.0239099859353025
0.11255330793139412,44,3.0942334739803097
0.113585907086728,45,3.1645569620253164
0.1146185062420619,46,3.2348804500703237
0.11565110539739579,46,3.2348804500703237
0.11668370455272968,46,3.2348804500703237
0.11771630370806356,46,3.2348804500703237
0.11874890286339747,46,3.2348804500703237
0.11978150201873135,46,3.2348804500703237
0.12081410117406523,46,3.2348804500703237
0.12184670032939914,46,3.2348804500703237
0.12287929948473302,46,3.2348804500703237
0.12391189864006691,47,3.305203938115331
0.1249444977954008,48,3.375527426160337
0.1259770969507347,48,3.375527426160337
0.12700969610606858,49,3.4458509142053444
0.12804229526140248,49,3.4458509142053444
0.12907489441673636,49,3.4458509142053444
0.13010749357207027,49,3.4458509142053444
0.13114009272740415,50,3.5161744022503516
0.13217269188273803,50,3.5161744022503516
0.13320529103807194,51,3.5864978902953584
0.13423789019340582,51,3.5864978902953584
0.1352704893487397,51,3.5864978902953584
0.1363030885040736,51,3.5864978902953584
0.13733568765940748,51,3.5864978902953584
0.13836828681474136,52,3.6568213783403656
0.13940088597007527,52,3.6568213783403656
0.14043348512540915,52,3.6568213783403656
0.14146608428074306,53,3.727144866385373
0.14249868343607697,53,3.727144866385373
0.14353128259141085,54,3.79746835443038
0.14456388174674473,55,3.8677918424753868
0.14559648090207863,56,3.938115330520394
0.14662908005741251,57,4.008438818565401
0.14766167921274642,57,4.008438818565401
0.1486942783680803,58,4.0787623066104075
0.14972687752341418,59,4.149085794655415
0.1507594766787481,59,4.149085794655415
0.15179207583408197,59,4.149085794655415
0.15282467498941585,59,4.149085794655415
0.15385727414474976,59,4.149085794655415
0.15488987330008364,60,4.219409282700422
0.15592247245541752,60,4.219409282700422
0.15695507161075142,60,4.219409282700422
0.1579876707660853,60,4.219409282700422
0.15902026992141918,60,4.219409282700422
0.1600528690767531,60,4.219409282700422
0.16108546823208697,60,4.219409282700422
0.16211806738742088,60,4.219409282700422
0.16315066654275479,60,4.219409282700422
0.16418326569808867,60,4.219409282700422
0.16521586485342257,60,4.219409282700422
0.16624846400875645,61,4.289732770745429
0.16728106316409033,61,4.289732770745429
0.16831366231942424,62,4.360056258790436
0.16934626147475812,62,4.360056258790436
0.170378860630092,63,4.430379746835443
0.1714114597854259,63,4.430379746835443
0.1724440589407598,63,4.430379746835443
0.17347665809609367,63,4.430379746835443
0.17450925725142757,63,4.430379746835443
0.17554185640676145,63,4.430379746835443
0.17657445556209533,63,4.430379746835443
0.17760705471742924,63,4.430379746835443
0.17863965387276312,63,4.430379746835443
0.179672253028097,64,4.50070323488045
0.1807048521834309,65,4.571026722925457
0.1817374513387648,66,4.641350210970464
0.1827700504940987,66,4.641350210970464
0.18380264964943258,67,4.7116736990154715
0.18483524880476648,68,4.781997187060478
0.18586784796010036,68,4.781997187060478
0.18690044711543427,68,4.781997187060478
0.18793304627076815,69,4.852320675105485
0.18896564542610206,70,4.922644163150492
0.18999824458143594,71,4.9929676511954995
0.19103084373676982,72,5.063291139240507
0.19206344289210373,72,5.063291139240507
0.1930960420474376,73,5.133614627285513
0.19412864120277148,74,5.20393811533052
0.1951612403581054,75,5.274261603375527
0.1961938395134393,76,5.344585091420535
0.19722643866877318,76,5.344585091420535
