calibration_risk_norm,numerical_confidence,predicted_assurance_risk
0.0,0.5,0.3968349247684044
0.008403361344537815,0.5,0.4058105553776182
0.01680672268907563,0.5,0.4148495685724022
0.025210084033613446,0.5,0.42394626684546466
0.03361344537815126,0.5,0.43309479878381174
0.04201680672268907,0.5,0.44228917340975593
0.05042016806722689,0.5,0.4515232753095758
0.058823529411764705,0.5,0.4607908804723204
0.06722689075630252,0.5,0.4700856727543742
0.07563025210084033,0.5,0.47940126087926327
0.08403361344537814,0.5,0.48873119587688346
0.09243697478991596,0.5,0.4980689888619331
0.10084033613445378,0.5,0.5074081290479301
0.1092436974789916,0.5,0.5167421018908003
0.11764705882352941,0.5,0.526064407254722
0.12605042016806722,0.5,0.535368577492675
0.13445378151260504,0.5,0.544648195335015
0.14285714285714285,0.5,0.5538969114813359
0.15126050420168066,0.5,0.5631084617938715
0.15966386554621848,0.5,0.5722766839946869
0.1680672268907563,0.5,0.5813955337738403
0.1764705882352941,0.5,0.5904591002215013
0.18487394957983191,0.5,0.5994616205035885
0.19327731092436973,0.5,0.6083974937077613
0.20168067226890757,0.5,0.6172612937944362
0.21008403361344538,0.5,0.6260477815958119
0.2184873949579832,0.5,0.6347519158145494
0.226890756302521,0.5,0.6433688629826485
0.23529411764705882,0.5,0.6518940063500753
0.24369747899159663,0.5,0.6603229536817207
0.25210084033613445,0.5,0.6686515439501777
0.26050420168067223,0.5,0.6768758529205365
0.2689075630252101,0.5,0.6849921976317989
0.2773109243697479,0.5,0.6929971397875193
0.2857142857142857,0.5,0.7008874880758366
0.29411764705882354,0.5,0.7086602994460568
0.3025210084033613,0.5,0.7163128793753866
0.31092436974789917,0.5,0.7238427811651964
0.31932773109243695,0.5,0.7312478043113311
0.3277310924369748,0.5,0.7385259919974314
0.3361344537815126,0.5,0.7456756277639814
0.3445378151260504,0.5,0.7526952314088647
0.3529411764705882,0.5,0.759583554177589
0.36134453781512604,0.5,0.7663395733030633
0.36974789915966383,0.5,0.7729624859558875
0.37815126050420167,0.5,0.7794517026665956
0.38655462184873945,0.5,0.7858068402812076
0.3949579831932773,0.5,0.7920277145108289
0.40336134453781514,0.5,0.7981143321349561
0.4117647058823529,0.5,0.8040668829166239
0.42016806722689076,0.5,0.8098857312856401
0.42857142857142855,0.5,0.8155714078439232
0.4369747899159664,0.5,0.8211246007444651
0.4453781512605042,0.5,0.8265461469926945
0.453781512605042,0.5,0.8318370237161155
0.4621848739495798,0.5,0.8369983394450289
0.47058823529411764,0.5,0.8420313254440047
0.4789915966386554,0.5,0.8469373271305577
0.48739495798319327,0.5,0.8517177956142652
0.49579831932773105,0.5,0.8563742793863424
0.5042016806722689,0.5,0.8609084161865258
0.5126050420168067,0.5,0.8653219250710119
0.5210084033613445,0.5,0.869616598702189
0.5294117647058824,0.5,0.8737942958779927
0.5378151260504201,0.5,0.877856934315946
0.5462184873949579,0.5,0.8818064837043051
0.5546218487394958,0.5,0.8856449590302402
0.5630252100840336,0.5,0.8893744141926511
0.5714285714285714,0.5,0.8929969359050385
0.5798319327731092,0.5,0.8965146378918494
0.5882352941176471,0.5,0.8999296553798564
0.5966386554621849,0.5,0.9032441398844555
0.6050420168067226,0.5,0.9064602542892358
0.6134453781512604,0.5,0.9095801682158061
0.6218487394957983,0.5,0.9126060536796411
0.6302521008403361,0.5,0.915540081026636
0.6386554621848739,0.5,0.9183844151441223
0.6470588235294117,0.5,0.9211412119392834
0.6554621848739496,0.5,0.9238126150772281
0.6638655462184874,0.5,0.9264007529704109
0.6722689075630252,0.5,0.928907736010618
0.680672268907563,0.5,0.9313356540343805
0.6890756302521008,0.5,0.9336865740123937
0.6974789915966386,0.5,0.9359625379533388
0.7058823529411764,0.5,0.9381655610123741
0.7142857142857143,0.5,0.9402976297945285
0.7226890756302521,0.5,0.9423607008432279
0.7310924369747899,0.5,0.9443566993042591
0.7394957983193277,0.5,0.946287517755584
0.7478991596638656,0.5,0.9481550151935714
0.7563025210084033,0.5,0.9499610161664053
0.7647058823529411,0.5,0.9517073100456461
0.7731092436974789,0.5,0.9533956504271662
0.7815126050420168,0.5,0.9550277546529526
0.7899159663865546,0.5,0.9566053034455464
0.7983193277310924,0.5,0.9581299406471925
0.8067226890756303,0.5,0.9596032730560744
0.8151260504201681,0.5,0.961026870352329
0.8235294117647058,0.5,0.9624022651068473
0.8319327731092436,0.5,0.9637309528661931
0.8403361344537815,0.5,0.9650143923072899
0.8487394957983193,0.5,0.9662540054558401
0.8571428571428571,0.5,0.9674511779627624
