method_A,method_B,metric,test,statistic,p_value,ci_low,ci_high,interpretation
learning-to-defer,MAGD-Constrained intervention-calibrated,correct_rejection,paired_bootstrap,0.005307559658416199,,0.004801327922513759,0.005792881261423128,learning-to-defer has higher correct_rejection than MAGD-Constrained intervention-calibrated; bootstrap CI excludes 0.
learning-to-defer,MAGD-Constrained intervention-calibrated,correct_rejection,wilcoxon_signed_rank,2319857534.5,0.0010301239635337627,,,Paired Wilcoxon test suggests a difference in correct_rejection between learning-to-defer and MAGD-Constrained intervention-calibrated.
learning-to-defer,MAGD-Constrained intervention-calibrated,wrong_confident_avoidance,paired_bootstrap,0.0007847753580537571,,0.0005057154363247733,0.0010741612713360798,learning-to-defer has higher wrong_confident_avoidance than MAGD-Constrained intervention-calibrated; bootstrap CI excludes 0.
learning-to-defer,MAGD-Constrained intervention-calibrated,wrong_confident_avoidance,wilcoxon_signed_rank,2340989392.0,0.6259115582774195,,,No statistically significant Wilcoxon difference in wrong_confident_avoidance.
distance-threshold,MAGD-Constrained intervention-calibrated,correctness,mcnemar,25.333333333333332,1.5201952291432616e-07,,,Paired correctness differs significantly; distance-threshold vs MAGD-Constrained intervention-calibrated is higher under McNemar.
distance-threshold,MAGD-Constrained intervention-calibrated,cost_sensitive_loss,paired_bootstrap,47.48700000000008,,35.71357499999993,61.48699999999986,distance-threshold has higher cost_sensitive_loss than MAGD-Constrained intervention-calibrated; bootstrap CI excludes 0.
distance-threshold,MAGD-Constrained intervention-calibrated,cost_sensitive_loss,wilcoxon_signed_rank,2342777764.5,0.802180776898669,,,No statistically significant Wilcoxon difference in cost_sensitive_loss.
distance-threshold,MAGD-Constrained intervention-calibrated,f1,paired_bootstrap,-0.05783971724667139,,-0.07357117625667638,-0.043823930465265636,distance-threshold has lower f1 than MAGD-Constrained intervention-calibrated; bootstrap CI excludes 0.
distance-threshold,MAGD-Constrained intervention-calibrated,overreliance,paired_bootstrap,0.00104292514688723,,0.0008364053158204515,0.0012494449779540083,distance-threshold has higher overreliance than MAGD-Constrained intervention-calibrated; bootstrap CI excludes 0.
distance-threshold,MAGD-Constrained intervention-calibrated,overreliance,wilcoxon_signed_rank,2339777826.5,0.5167075724662802,,,No statistically significant Wilcoxon difference in overreliance.
distance-threshold,MAGD-Constrained intervention-calibrated,correct_rejection,paired_bootstrap,-0.00104292514688723,,-0.001249444977954008,-0.0008364053158204516,distance-threshold has lower correct_rejection than MAGD-Constrained intervention-calibrated; bootstrap CI excludes 0.
distance-threshold,MAGD-Constrained intervention-calibrated,correct_rejection,wilcoxon_signed_rank,2339777826.5,0.5167075724662802,,,No statistically significant Wilcoxon difference in correct_rejection.
distance-threshold,MAGD-Constrained intervention-calibrated,wrong_confident_avoidance,paired_bootstrap,-0.000795101349607096,,-0.0009706432060138574,-0.0006092335016469957,distance-threshold has lower wrong_confident_avoidance than MAGD-Constrained intervention-calibrated; bootstrap CI excludes 0.
distance-threshold,MAGD-Constrained intervention-calibrated,wrong_confident_avoidance,wilcoxon_signed_rank,2340938880.5,0.6209748659281404,,,No statistically significant Wilcoxon difference in wrong_confident_avoidance.
