sensitive_column,group,false_positive_rate,false_negative_rate,group_cost,false_positive_rate_disparity,false_negative_rate_disparity,method
customer_age,70,0.0117994100294985,0.48,12.228,0.0117994100294985,0.9423076923076924,learning-to-defer baseline
customer_age,80,0.0,0.5,3.0,0.0117994100294985,0.9423076923076924,learning-to-defer baseline
customer_age,90,0.0,0.0,0.0,0.0117994100294985,0.9423076923076924,learning-to-defer baseline
customer_age,10,0.0,0.9230769230769232,12.0,0.0030626254092301,0.9294871794871796,MAGD-Heuristic
customer_age,20,0.0001437676714429,0.9294871794871796,145.171,0.0030626254092301,0.9294871794871796,MAGD-Heuristic
customer_age,30,0.0002190374867012,0.9037037037037036,366.399,0.0030626254092301,0.9294871794871796,MAGD-Heuristic
customer_age,40,0.0006563593932322,0.8922018348623854,390.026,0.0030626254092301,0.9294871794871796,MAGD-Heuristic
customer_age,50,0.0030626254092301,0.7734375,199.653,0.0030626254092301,0.9294871794871796,MAGD-Heuristic
customer_age,60,0.0016877637130801,0.7709923664122137,101.228,0.0030626254092301,0.9294871794871796,MAGD-Heuristic
customer_age,70,0.0,0.76,19.0,0.0030626254092301,0.9294871794871796,MAGD-Heuristic
customer_age,80,0.0,0.6666666666666666,4.0,0.0030626254092301,0.9294871794871796,MAGD-Heuristic
customer_age,90,0.0,0.0,0.0,0.0030626254092301,0.9294871794871796,MAGD-Heuristic
customer_age,10,0.0,1.0,13.0,0.0026401943183018,1.0,MAGD-Learned
customer_age,20,0.0001437676714429,0.9743589743589745,152.171,0.0026401943183018,1.0,MAGD-Learned
customer_age,30,0.00025032855623,0.9407407407407408,381.456,0.0026401943183018,1.0,MAGD-Learned
customer_age,40,0.0006563593932322,0.944954128440367,413.026,0.0026401943183018,1.0,MAGD-Learned
customer_age,50,0.0026401943183018,0.88671875,228.425,0.0026401943183018,1.0,MAGD-Learned
customer_age,60,0.0016877637130801,0.8549618320610687,112.228,0.0026401943183018,1.0,MAGD-Learned
customer_age,70,0.0,0.92,23.0,0.0026401943183018,1.0,MAGD-Learned
customer_age,80,0.0,0.8333333333333334,5.0,0.0026401943183018,1.0,MAGD-Learned
customer_age,90,0.0,0.0,0.0,0.0026401943183018,1.0,MAGD-Learned
customer_age,10,0.0,1.0,13.0,0.0026401943183018,1.0,MAGD-Constrained
customer_age,20,0.0001437676714429,0.9743589743589745,152.171,0.0026401943183018,1.0,MAGD-Constrained
customer_age,30,0.00025032855623,0.9407407407407408,381.456,0.0026401943183018,1.0,MAGD-Constrained
customer_age,40,0.0006563593932322,0.944954128440367,413.026,0.0026401943183018,1.0,MAGD-Constrained
customer_age,50,0.0026401943183018,0.88671875,228.425,0.0026401943183018,1.0,MAGD-Constrained
customer_age,60,0.0016877637130801,0.8549618320610687,112.228,0.0026401943183018,1.0,MAGD-Constrained
customer_age,70,0.0,0.92,23.0,0.0026401943183018,1.0,MAGD-Constrained
customer_age,80,0.0,0.8333333333333334,5.0,0.0026401943183018,1.0,MAGD-Constrained
customer_age,90,0.0,0.0,0.0,0.0026401943183018,1.0,MAGD-Constrained
